step,p1.sign,p1.weight,p1.prob,p1.position
3,+,(0.7500000000000002+0j),0.5625000000000003,g2.upper_in>g2.upper_out
3,-,0.43301270189221946j,0.1875000000000001,g2.upper_in>g2.upper_out
3,+,(0.2500000000000001+0j),0.06250000000000006,g2.lower_in>g2.lower_out
3,-,-0.4330127018922194j,0.18750000000000008,g2.lower_in>g2.lower_out
