step,p1.sign,p1.position,p2.sign,p2.position,p3.sign,p3.position,weight,probability
3,+,g1.lower_out>g5.lower_in,-,g2.lower_out>g6.lower_in,+,g4.upper_in>g4.upper_out,0.10825317547305482j,0.011718749999999998
3,+,g1.lower_out>g5.lower_in,+,g4.control_out>g6.upper_in,+,g4.lower_in>g4.lower_out,(0.0625+0j),0.00390625
3,+,g1.lower_out>g5.lower_in,-,g4.control_out>g6.upper_in,+,g4.lower_in>g4.lower_out,-0.10825317547305482j,0.011718749999999998
3,-,g1.lower_out>g5.lower_in,+,g2.lower_out>g6.lower_in,+,g4.upper_in>g4.upper_out,-0.32475952641916445j,0.10546874999999997
3,-,g1.lower_out>g5.lower_in,-,g2.lower_out>g6.lower_in,+,g4.upper_in>g4.upper_out,(0.18749999999999997+0j),0.035156249999999986
3,-,g1.lower_out>g5.lower_in,+,g4.control_out>g6.upper_in,+,g4.lower_in>g4.lower_out,-0.10825317547305482j,0.011718749999999998
3,-,g1.lower_out>g5.lower_in,-,g4.control_out>g6.upper_in,+,g4.lower_in>g4.lower_out,(-0.18749999999999997-0j),0.035156249999999986
4,+,g5.upper_out>g7.upper_in,+,g6.lower_out>g8.lower_in,+,g4.lower_in>g4.lower_out,(0.44362976320958225+0j),0.19680736680539002
4,+,g5.upper_out>g7.upper_in,-,g6.lower_out>g8.lower_in,+,g4.lower_in>g4.lower_out,0.44362976320958214j,0.19680736680538993
4,+,g5.upper_out>g7.upper_in,+,g6.upper_out>g8.upper_in,+,g4.lower_in>g4.lower_out,(0.11887023679041767+0j),0.014130133194609965
4,+,g5.upper_out>g7.upper_in,-,g6.upper_out>g8.upper_in,+,g4.lower_in>g4.lower_out,-0.1188702367904177j,0.014130133194609972
4,+,g5.upper_out>g7.upper_in,+,g6.upper_out>g8.upper_in,+,g4.upper_in>g4.upper_out,(-0.06862976320958222+0j),0.004710044398203325
4,+,g5.upper_out>g7.upper_in,-,g6.upper_out>g8.upper_in,+,g4.upper_in>g4.upper_out,-0.06862976320958221j,0.004710044398203324
4,+,g5.upper_out>g7.upper_in,+,g6.lower_out>g8.lower_in,+,g4.upper_in>g4.upper_out,(0.2561297632095822+0j),0.06560245560179664
4,+,g5.upper_out>g7.upper_in,-,g6.lower_out>g8.lower_in,+,g4.upper_in>g4.upper_out,-0.25612976320958225j,0.06560245560179667
4,-,g5.lower_out>g7.lower_in,+,g6.lower_out>g8.lower_in,+,g4.lower_in>g4.lower_out,0.25612976320958225j,0.06560245560179667
4,-,g5.lower_out>g7.lower_in,-,g6.lower_out>g8.lower_in,+,g4.lower_in>g4.lower_out,(-0.2561297632095822+0j),0.06560245560179664
4,-,g5.lower_out>g7.lower_in,+,g6.upper_out>g8.upper_in,+,g4.lower_in>g4.lower_out,0.06862976320958221j,0.004710044398203324
4,-,g5.lower_out>g7.lower_in,-,g6.upper_out>g8.upper_in,+,g4.lower_in>g4.lower_out,(0.06862976320958222+0j),0.004710044398203325
4,-,g5.lower_out>g7.lower_in,+,g6.upper_out>g8.upper_in,+,g4.upper_in>g4.upper_out,-0.03962341226347256j,0.0015700147994011076
4,-,g5.lower_out>g7.lower_in,-,g6.upper_out>g8.upper_in,+,g4.upper_in>g4.upper_out,(0.03962341226347256+0j),0.0015700147994011076
4,-,g5.lower_out>g7.lower_in,+,g6.lower_out>g8.lower_in,+,g4.upper_in>g4.upper_out,0.1478765877365274j,0.021867485200598884
4,-,g5.lower_out>g7.lower_in,-,g6.lower_out>g8.lower_in,+,g4.upper_in>g4.upper_out,(0.1478765877365274+0j),0.021867485200598884
4,+,g5.lower_out>g7.lower_in,+,g6.lower_out>g8.lower_in,+,g4.upper_in>g4.upper_out,(0.1478765877365274+0j),0.021867485200598884
4,+,g5.lower_out>g7.lower_in,-,g6.lower_out>g8.lower_in,+,g4.upper_in>g4.upper_out,0.1478765877365274j,0.021867485200598884
4,+,g5.lower_out>g7.lower_in,+,g6.upper_out>g8.upper_in,+,g4.upper_in>g4.upper_out,(0.03962341226347256+0j),0.0015700147994011076
4,+,g5.lower_out>g7.lower_in,-,g6.upper_out>g8.upper_in,+,g4.upper_in>g4.upper_out,-0.03962341226347256j,0.0015700147994011076
4,+,g5.lower_out>g7.lower_in,+,g6.upper_out>g8.upper_in,+,g4.lower_in>g4.lower_out,(-0.022876587736527405+0j),0.0005233382664670361
4,+,g5.lower_out>g7.lower_in,-,g6.upper_out>g8.upper_in,+,g4.lower_in>g4.lower_out,-0.0228765877365274j,0.0005233382664670358
