step,group,p1_wire,p1_sign,p1_weight_re,p1_weight_im,p1_weight_abs2,p2_wire,p2_sign,p2_weight_re,p2_weight_im,p2_weight_abs2,p3_wire,p3_sign,p3_weight_re,p3_weight_im,p3_weight_abs2
2,couple1,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.upper→g4.control,+,0.7500000000000001,0,0.5625,g3.upper→g4.upper,-,0,0,0
2,couple1,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.lower→g6.lower,-,0,-0.4330127018922193,0.1875,g3.lower→g4.lower,-,0,0,0
2,couple1,g3.control→g5.upper,+,0.7500000000000001,0,0.5625,g2.upper→g4.control,+,0.7500000000000001,0,0.5625,g3.lower→g4.lower,+,1,0,1
2,couple1,g3.control→g5.upper,+,0.7500000000000001,0,0.5625,g2.lower→g6.lower,+,0.24999999999999994,0,0.0625,g3.lower→g4.lower,+,1,0,1
2,couple1,g3.control→g5.upper,-,0,0.4330127018922193,0.1875,g2.upper→g4.control,+,0.7500000000000001,0,0.5625,g3.upper→g4.upper,-,0,0,0
2,couple1,g3.control→g5.upper,-,0,0.4330127018922193,0.1875,g2.lower→g6.lower,-,0,-0.4330127018922193,0.1875,g3.upper→g4.upper,-,0,0,0
2,couple1,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.lower→g6.lower,+,0.24999999999999994,0,0.0625,g3.upper→g4.upper,-,0,0,0
2,couple1,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.upper→g4.control,+,0.7500000000000001,0,0.5625,g3.lower→g4.lower,-,0,0,0
2,couple1,g1.lower→g5.lower,-,0,-0.4330127018922193,0.1875,g2.lower→g6.lower,-,0,-0.4330127018922193,0.1875,g3.lower→g4.lower,+,0,0,0
2,couple1,g3.control→g5.upper,-,0,0.4330127018922193,0.1875,g2.upper→g4.control,+,0.7500000000000001,0,0.5625,g3.lower→g4.lower,+,1,0,1
2,couple1,g3.control→g5.upper,+,0.7500000000000001,0,0.5625,g2.lower→g6.lower,-,0,-0.4330127018922193,0.1875,g3.lower→g4.lower,-,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.lower→SINK(g4.lower),+,1,0,1
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.lower→SINK(g4.lower),+,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.upper→SINK(g4.upper),+,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.lower→SINK(g4.lower),+,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.lower→SINK(g4.lower),+,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.upper→SINK(g4.upper),+,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.lower→SINK(g4.lower),+,1,0,1
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.lower→SINK(g4.lower),+,1,0,1
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.upper→SINK(g4.upper),+,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.lower→SINK(g4.lower),+,1,0,1
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.upper→SINK(g4.upper),+,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.upper→SINK(g4.upper),+,1,0,1
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.upper→SINK(g4.upper),+,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.lower→SINK(g4.lower),+,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.lower→SINK(g4.lower),+,1,0,1
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.lower→SINK(g4.lower),+,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.lower→SINK(g4.lower),+,1,0,1
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.upper→SINK(g4.upper),+,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.lower→SINK(g4.lower),+,1,0,1
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.lower→SINK(g4.lower),+,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.upper→SINK(g4.upper),+,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.lower→SINK(g4.lower),+,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.upper→SINK(g4.upper),+,1,0,1
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.lower→SINK(g4.lower),+,1,0,1
3,couple2,g1.lower→g5.lower,+,0.9999999999999998,0,1,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.upper→SINK(g4.upper),+,1,0,1
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.lower→SINK(g4.lower),-,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.upper→SINK(g4.upper),+,1,0,1
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.upper→SINK(g4.upper),+,0,0,0
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.upper→SINK(g4.upper),+,1,0,1
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g3.control→g5.upper,+,3.0000000000000004,0,9.000000000000004,g4.control→g6.upper,-,0,0.4330127018922193,0.1875,g4.upper→SINK(g4.upper),+,1,0,1
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.upper→SINK(g4.upper),-,0,0,0
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g2.lower→g6.lower,-,0,-1.7320508075688772,3,g4.lower→SINK(g4.lower),+,0,0,0
3,couple2,g3.control→g5.upper,-,0,1.7320508075688772,3,g4.control→g6.upper,+,0.7500000000000001,0,0.5625,g4.upper→SINK(g4.upper),+,1,0,1
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.upper→SINK(g4.upper),+,1,0,1
3,couple2,g1.lower→g5.lower,-,0,-1.7320508075688772,3,g2.lower→g6.lower,+,0.9999999999999998,0,1,g4.lower→SINK(g4.lower),-,0,0,0
4,observe,g5.upper→SINK(g5.upper),-,0,3.9999999999999987,15.99999999999999,g6.lower→SINK(g6.lower),+,-0.830127018922193,0,0.689110867544647,g4.lower→SINK(g4.lower),+,8,0,64
4,observe,g5.upper→SINK(g5.upper),+,14.92820323027551,0,222.8512516844082,g6.lower→SINK(g6.lower),-,0,-2.098076211353315,4.401923788646681,g4.upper→SINK(g4.upper),+,8,0,64
4,observe,g5.upper→SINK(g5.upper),+,14.92820323027551,0,222.8512516844082,g6.upper→SINK(g6.upper),-,0,-3.098076211353317,9.598076211353321,g4.upper→SINK(g4.upper),+,8,0,64
4,observe,g5.lower→SINK(g5.lower),+,1.0717967697244903,0,1.148748315591852,g6.lower→SINK(g6.lower),-,0,-2.098076211353315,4.401923788646681,g4.upper→SINK(g4.upper),+,8,0,64
